Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.06825231222554996,0.13464451282718706
0,1,1,0.060796492510047484,0.0936503663250197
0,2,0,0.06834432276171712,0.12782244676005727
0,2,1,0.037639348540577565,0.11717588027406171
0,3,0,0.059463525368547175,0.12424970192733362
0,3,1,0.026068075286930715,0.12210854776578876
0,4,0,0.058728338721935766,0.12331280207091859
0,4,1,0.02196005804596246,0.09808457648090463
1,1,0,0.011921625195335978,0.7535913442916689
1,1,1,0.0125,0.6616305916305916
1,2,0,0.06636045857552121,0.7275434937877684
1,2,1,0.09469565217391304,0.6748234519104084
1,3,0,0.03414861700990645,0.7757952444918248
1,3,1,0.10879246297974046,0.7099556614409108
1,4,0,0.031186163196782978,0.7325070785971489
1,4,1,0.0729976076555024,0.6385095693779904
