F_OTH_STR,F_OTH_GB,F_BL_STR,F_BL_GB,F_WH_STR,F_WH_GB,F_LAT_STR,F_LAT_GB,M_OTH_STR,M_OTH_GB,M_BL_STR,M_BL_GB,M_WH_STR,M_WH_GB,M_LAT_STR,M_LAT_GB
0.021833034348082918,0.011764705882352941,0.016368676211669257,0.015850757452315848,0.013201120659160135,0.013065811712993213,0.012676046577684192,0.01039220649415552,0.17497619598016284,0.14436507936507936,0.17401109228031655,0.17039262187088272,0.20189268312621556,0.1638565477014656,0.18309746006589245,0.17953468899521532
0.03701923858533002,0.011764705882352941,0.02818938770275415,0.029213861712753152,0.02589619446362639,0.024756347991948802,0.02746494377704533,0.023586277163435955,0.331691193981854,0.27072871572871576,0.29807881641677236,0.2644189723320158,0.3435887334428182,0.2994937104435032,0.3087682705723033,0.27327033492822966
0.05734467542132036,0.011764705882352941,0.03964989371026275,0.042523206185024226,0.03913531038922372,0.04269797930351203,0.04107993801974447,0.04094079197711591,0.4416295597658742,0.36192640692640693,0.4058555225648674,0.337897233201581,0.45350289442452185,0.4193863575575074,0.40863050498383896,0.38716148325358846
0.06819225531994313,0.023529411764705882,0.052907797078143706,0.06273108471880723,0.05293384563673077,0.05435812965286069,0.05098746662541955,0.04834035730166612,0.5222605938624691,0.43936147186147184,0.4913097504869054,0.46352832674571803,0.5448144097416192,0.49152496423717296,0.48675562387227317,0.4689354066985646
0.08417906781730912,0.040920716112531966,0.06622871135923798,0.07451308252082323,0.06545215640224096,0.0633045999355881,0.0653618776921659,0.04834035730166612,0.5828224628412151,0.48658369408369406,0.5518498009663639,0.5167391304347826,0.6066850220738972,0.5600022199642629,0.5533336603062143,0.49623803827751195
0.09200715351424728,0.040920716112531966,0.07793893388794011,0.07849411987406835,0.07700795260358115,0.0757884851843019,0.078858132657223,0.06390163124559084,0.631127126349629,0.5276551226551226,0.6042077225769741,0.5525256916996047,0.6503800853920022,0.5840019891828573,0.6049467486751429,0.5336184210526316
0.10144175551784898,0.0601426840759187,0.09126204229504323,0.07979282117276965,0.09167066707987766,0.08734659471732403,0.08998519573906238,0.07476527109473793,0.6720182015630989,0.5562265512265512,0.652739309594683,0.5873412384716733,0.6914640675621171,0.623423702328708,0.6433448857755975,0.5797619617224881
0.11623769667367587,0.0936503663250197,0.1049393564004816,0.09318816253186808,0.10213384171197801,0.09996292894747168,0.10313887515794314,0.08262583158687738,0.6879088483473627,0.5869083694083694,0.6903298530794174,0.6213992094861661,0.7244664769204537,0.6592857563673338,0.6774935888734772,0.6136291866028708
0.1270227114002444,0.0936503663250197,0.11795442647650234,0.10122864786812806,0.11210114430828129,0.11097319311758372,0.11388013544917013,0.09011948735639522,0.7256134664443354,0.5994083694083694,0.7116246221230024,0.6584901185770751,0.7527434215555693,0.6903350592193807,0.7140526760450482,0.6188923444976077
0.13464451282718706,0.0936503663250197,0.12782244676005727,0.11717588027406171,0.12424970192733362,0.12210854776578876,0.12331280207091859,0.09808457648090463,0.7535913442916689,0.6616305916305916,0.7275434937877684,0.6748234519104084,0.7757952444918248,0.7099556614409108,0.7325070785971489,0.6385095693779904
