Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.011205015024411416,0.021833034348082918
0,1,1,0.0,0.011764705882352941
0,2,0,0.016972331719046548,0.016368676211669257
0,2,1,0.017244870274948837,0.015850757452315848
0,3,0,0.009746035236445327,0.013201120659160135
0,3,1,0.005567204063186398,0.013065811712993213
0,4,0,0.008636004324703104,0.012676046577684192
0,4,1,0.007663940997274331,0.01039220649415552
1,1,0,0.0,0.17497619598016284
1,1,1,0.0,0.14436507936507936
1,2,0,0.05172958368048889,0.17401109228031655
1,2,1,0.0783623188405797,0.17039262187088272
1,3,0,0.022660724719338853,0.20189268312621556
1,3,1,0.047665587333131657,0.1638565477014656
1,4,0,0.02080945436885695,0.18309746006589245
1,4,1,0.03211722488038278,0.17953468899521532
