Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.04829188981828529,0.09200715351424728
0,1,1,0.020460358056265983,0.040920716112531966
0,2,0,0.04828719041793898,0.07793893388794011
0,2,1,0.029555982932086687,0.07849411987406835
0,3,0,0.03461934386255786,0.07700795260358115
0,3,1,0.015920164870051396,0.0757884851843019
0,4,0,0.035754820238614725,0.078858132657223
0,4,1,0.014893221094068038,0.06390163124559084
1,1,0,0.007836518812357255,0.631127126349629
1,1,1,0.0125,0.5276551226551226
1,2,0,0.0594293351042372,0.6042077225769741
1,2,1,0.0783623188405797,0.5525256916996047
1,3,0,0.029726462350084266,0.6503800853920022
1,3,1,0.08614800061174203,0.5840019891828573
1,4,0,0.029743738408771887,0.6049467486751429
1,4,1,0.05590669856459329,0.5336184210526316
