Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.058717924049460746,0.11623769667367587
0,1,1,0.04903178662769456,0.0936503663250197
0,2,0,0.05549236710938952,0.1049393564004816
0,2,1,0.032263134935013336,0.09318816253186808
0,3,0,0.04733263594414058,0.10213384171197801
0,3,1,0.022636400914018535,0.09996292894747168
0,4,0,0.04723449782952631,0.10313887515794314
0,4,1,0.01966120747124982,0.08262583158687738
1,1,0,0.009254958528669312,0.6879088483473627
1,1,1,0.0125,0.5869083694083694
1,2,0,0.06211728379364674,0.6903298530794174
1,2,1,0.09469565217391304,0.6213992094861661
1,3,0,0.03231209772950302,0.7244664769204537
1,3,1,0.09288647064764373,0.6592857563673338
1,4,0,0.030709972720592497,0.6774935888734772
1,4,1,0.0639066985645933,0.6136291866028708
