Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.06160634949263072,0.1270227114002444
0,1,1,0.04903178662769456,0.0936503663250197
0,2,0,0.06190612574221553,0.11795442647650234
0,2,1,0.03367158563923869,0.10122864786812806
0,3,0,0.05212337936506818,0.11210114430828129
0,3,1,0.02541448051568888,0.11097319311758372
0,4,0,0.051752690893939926,0.11388013544917013
0,4,1,0.02196005804596246,0.09011948735639522
1,1,0,0.009254958528669312,0.7256134664443354
1,1,1,0.0125,0.5994083694083694
1,2,0,0.0658898703402271,0.7116246221230024
1,2,1,0.09469565217391304,0.6584901185770751
1,3,0,0.033060158070938886,0.7527434215555693
1,3,1,0.10244184209199611,0.6903350592193807
1,4,0,0.031186163196782978,0.7140526760450482
1,4,1,0.0729976076555024,0.6188923444976077
