Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.03867779756698706,0.08417906781730912
0,1,1,0.020460358056265983,0.040920716112531966
0,2,0,0.04037737384989477,0.06622871135923798
0,2,1,0.026739081523635983,0.07451308252082323
0,3,0,0.02891056676113645,0.06545215640224096
0,3,1,0.013876608708848173,0.0633045999355881
0,4,0,0.030378054055466702,0.0653618776921659
0,4,1,0.014893221094068038,0.04834035730166612
1,1,0,0.006141603558119967,0.5828224628412151
1,1,1,0.0125,0.48658369408369406
1,2,0,0.05765347575387454,0.5518498009663639
1,2,1,0.0783623188405797,0.5167391304347826
1,3,0,0.02842634901962062,0.6066850220738972
1,3,1,0.08614800061174203,0.5600022199642629
1,4,0,0.029257120403905705,0.5533336603062143
1,4,1,0.05590669856459329,0.49623803827751195
