Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.017314052383845476,0.03701923858533002
0,1,1,0.011764705882352941,0.011764705882352941
0,2,0,0.023817119086323068,0.02818938770275415
0,2,1,0.018653320979174187,0.029213861712753152
0,3,0,0.01490902930533925,0.02589619446362639
0,3,1,0.006957165453147787,0.024756347991948802
0,4,0,0.014855425985003959,0.02746494377704533
0,4,1,0.010295519944642752,0.023586277163435955
1,1,0,0.0014184397163120566,0.331691193981854
1,1,1,0.0125,0.27072871572871576
1,2,0,0.054034205529228385,0.29807881641677236
1,2,1,0.0783623188405797,0.2644189723320158
1,3,0,0.02360146348219665,0.3435887334428182
1,3,1,0.0653837750591122,0.2994937104435032
1,4,0,0.023622619479948426,0.3087682705723033
1,4,1,0.03738038277511961,0.27327033492822966
