Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.024820378585823852,0.05734467542132036
0,1,1,0.011764705882352941,0.011764705882352941
0,2,0,0.02647771158114561,0.03964989371026275
0,2,1,0.018653320979174187,0.042523206185024226
0,3,0,0.01896379687304244,0.03913531038922372
0,3,1,0.009696635016208101,0.04269797930351203
0,4,0,0.01859456519100682,0.04107993801974447
0,4,1,0.010295519944642752,0.04094079197711591
1,1,0,0.0014184397163120566,0.4416295597658742
1,1,1,0.0125,0.36192640692640693
1,2,0,0.056741386414827656,0.4058555225648674
1,2,1,0.0783623188405797,0.337897233201581
1,3,0,0.02471746008746531,0.45350289442452185
1,3,1,0.07410244311481587,0.4193863575575074
1,4,0,0.025541234744149995,0.40863050498383896
1,4,1,0.050643540669856456,0.38716148325358846
