F_OTH_STR,F_OTH_GB,F_BL_STR,F_BL_GB,F_WH_STR,F_WH_GB,F_LAT_STR,F_LAT_GB,M_OTH_STR,M_OTH_GB,M_BL_STR,M_BL_GB,M_WH_STR,M_WH_GB,M_LAT_STR,M_LAT_GB
0.02706104398641712,0.01,0.02463652886517429,0.02996867241471558,0.025269043684601145,0.01933256315314491,0.029610638796633875,0.010259767121271215,0.3613829901668479,0.346031746031746,0.2999583444548668,0.2836519639093684,0.31901291565672246,0.322949168680876,0.3078219168763186,0.31086882548182854
0.048439674393934595,0.03111111111111111,0.04931528795200553,0.05277232759247148,0.052937827905756296,0.05419069272801005,0.05393372600404819,0.030598926183438468,0.5556396740210693,0.3904761904761905,0.48258522310326535,0.5022612895725675,0.5166614219080212,0.5053164730426729,0.49291801992623185,0.49112375533428165
0.0757654686199051,0.042222222222222223,0.06886231944942803,0.0804585502427229,0.07881726399902136,0.0808152612329799,0.08104193375725513,0.05088922412079522,0.696509467185801,0.5079365079365079,0.6057974730876694,0.6518994082396442,0.638290152720043,0.6165053468102248,0.6022837853476778,0.6154813637166578
0.09695055879209129,0.05472222222222223,0.0867696265231923,0.10863461079288417,0.10170328959801027,0.10534281377383226,0.1048896752958414,0.08318916749668796,0.7582347399066961,0.5079365079365079,0.6744486693268614,0.7117452055410969,0.719907347962115,0.6993335979567294,0.6804538189185216,0.6847923465260928
0.12901052293836407,0.08055555555555555,0.10769443688238522,0.12766837479067697,0.12814421763339934,0.1322888901718773,0.12669871705797048,0.09833352136405002,0.791764635729068,0.5968253968253968,0.7215349069798326,0.7564437377654109,0.7653163952886418,0.7469251647398776,0.7245676472281872,0.7476017813479114
0.14732597181571208,0.08055555555555555,0.1306963443838467,0.1473042944265966,0.1504610102457284,0.15324219080443163,0.150662721658554,0.11818375758435326,0.8185761595753387,0.7142857142857142,0.7625196961556726,0.7871335248366846,0.7993572288320201,0.7867999293550041,0.7600603878900184,0.764268448014578
0.17431595304318304,0.09166666666666665,0.15391896063235036,0.16982206442638098,0.17274799531015914,0.17732610673813984,0.17045219704076375,0.15106652634202894,0.851758424824909,0.7873015873015873,0.790207047859248,0.8140454957961764,0.8221588677669835,0.8061173900099943,0.7896557177796201,0.7754139588504912
0.2001352161825543,0.10499999999999998,0.17494434456603525,0.1952980273124158,0.19154536828448057,0.1936946608704104,0.19229165517954364,0.17677919499215106,0.8673609409893951,0.8158730158730159,0.8114055016814904,0.8462705597347953,0.8400570670774025,0.8159096547373496,0.8103598624391001,0.7918226275811415
0.21353435795649922,0.11833333333333333,0.1971027345916218,0.20923964125402977,0.2119177214128259,0.21128604845115562,0.21537081130256736,0.19205506291507782,0.8948694798133923,0.8158730158730159,0.8249313278255611,0.8462705597347953,0.8541745105265864,0.8309153311454649,0.8306927199959431,0.7984892942478081
0.2302093952186325,0.12944444444444445,0.21693491042063803,0.22805555755196041,0.23352294081055022,0.23195696094188434,0.2380056774470936,0.22580607156556526,0.9056116220608696,0.8158730158730159,0.8383946793282158,0.8553614688257044,0.8654027949049905,0.8445140911958378,0.8439392836364611,0.8148979629784584
