Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.007774018794914318,0.048439674393934595
0,1,1,0.0,0.03111111111111111
0,2,0,0.024508090252919924,0.04931528795200553
0,2,1,0.033702428666457444,0.05277232759247148
0,3,0,0.01698742971922193,0.052937827905756296
0,3,1,0.011605077077826103,0.05419069272801005
0,4,0,0.016920305044304328,0.05393372600404819
0,4,1,0.018234020881079706,0.030598926183438468
1,1,0,0.0016,0.5556396740210693
1,1,1,0.02857142857142857,0.3904761904761905
1,2,0,0.051458322432332324,0.48258522310326535
1,2,1,0.0302945301542777,0.5022612895725675
1,3,0,0.028565388293782246,0.5166614219080212
1,3,1,0.04117447896362138,0.5053164730426729
1,4,0,0.025488853477483187,0.49291801992623185
1,4,1,0.021814074136055562,0.49112375533428165
