Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.03188021770910478,0.14732597181571208
0,1,1,0.01111111111111111,0.08055555555555555
0,2,0,0.04745237421945223,0.1306963443838467
0,2,1,0.046779639225682394,0.1473042944265966
0,3,0,0.03855229032169031,0.1504610102457284
0,3,1,0.017075691452496516,0.15324219080443163
0,4,0,0.04125302779647163,0.150662721658554
0,4,1,0.031091190599753515,0.11818375758435326
1,1,0,0.0033094017094017097,0.8185761595753387
1,1,1,0.02857142857142857,0.7142857142857142
1,2,0,0.0542160298004732,0.7625196961556726
1,2,1,0.038990182328190744,0.7871335248366846
1,3,0,0.030549751904293366,0.7993572288320201
1,3,1,0.05401890875927068,0.7867999293550041
1,4,0,0.02688623283907233,0.7600603878900184
1,4,1,0.021814074136055562,0.764268448014578
