Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.02441028702257989,0.09695055879209129
0,1,1,0.0,0.05472222222222223
0,2,0,0.03760935068180264,0.0867696265231923
0,2,1,0.03929683426086304,0.10863461079288417
0,3,0,0.028525856081913388,0.10170328959801027
0,3,1,0.015073363971831889,0.10534281377383226
0,4,0,0.02804766282178226,0.1048896752958414
0,4,1,0.02596047164550515,0.08318916749668796
1,1,0,0.0016,0.7582347399066961
1,1,1,0.02857142857142857,0.5079365079365079
1,2,0,0.05286506220174414,0.6744486693268614
1,2,1,0.038990182328190744,0.7117452055410969
1,3,0,0.029830922331178334,0.719907347962115
1,3,1,0.04887718166632408,0.6993335979567294
1,4,0,0.025488853477483187,0.6804538189185216
1,4,1,0.021814074136055562,0.6847923465260928
