Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.02441028702257989,0.12901052293836407
0,1,1,0.01111111111111111,0.08055555555555555
0,2,0,0.042118844507322506,0.10769443688238522
0,2,1,0.04391028635632953,0.12766837479067697
0,3,0,0.03456453621140648,0.12814421763339934
0,3,1,0.016383649930005167,0.1322888901718773
0,4,0,0.036322488975041686,0.12669871705797048
0,4,1,0.02831341282197574,0.09833352136405002
1,1,0,0.0033094017094017097,0.791764635729068
1,1,1,0.02857142857142857,0.5968253968253968
1,2,0,0.05379674258873316,0.7215349069798326
1,2,1,0.038990182328190744,0.7564437377654109
1,3,0,0.030008070249690287,0.7653163952886418
1,3,1,0.05401890875927068,0.7469251647398776
1,4,0,0.02688623283907233,0.7245676472281872
1,4,1,0.021814074136055562,0.7476017813479114
