Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.013658090499881545,0.0757654686199051
0,1,1,0.0,0.042222222222222223
0,2,0,0.03048370627433241,0.06886231944942803
0,2,1,0.03929683426086304,0.0804585502427229
0,3,0,0.02208658637116894,0.07881726399902136
0,3,1,0.013738223793220788,0.0808152612329799
0,4,0,0.02308602159898957,0.08104193375725513
0,4,1,0.023428826075884902,0.05088922412079522
1,1,0,0.0016,0.696509467185801
1,1,1,0.02857142857142857,0.5079365079365079
1,2,0,0.05239000281932134,0.6057974730876694
1,2,1,0.038990182328190744,0.6518994082396442
1,3,0,0.029111423307169055,0.638290152720043
1,3,1,0.04117447896362138,0.6165053468102248
1,4,0,0.025488853477483187,0.6022837853476778
1,4,1,0.021814074136055562,0.6154813637166578
