Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.036312163715853926,0.17431595304318304
0,1,1,0.01111111111111111,0.09166666666666665
0,2,0,0.05303942807895719,0.15391896063235036
0,2,1,0.04817824062428379,0.16982206442638098
0,3,0,0.04345941687345257,0.17274799531015914
0,3,1,0.019810794225879516,0.17732610673813984
0,4,0,0.04739321459336656,0.17045219704076375
0,4,1,0.031091190599753515,0.15106652634202894
1,1,0,0.00490940170940171,0.851758424824909
1,1,1,0.02857142857142857,0.7873015873015873
1,2,0,0.0542160298004732,0.790207047859248
1,2,1,0.038990182328190744,0.8140454957961764
1,3,0,0.030734937089478553,0.8221588677669835
1,3,1,0.05645793314951458,0.8061173900099943
1,4,0,0.0273681605499157,0.7896557177796201
1,4,1,0.021814074136055562,0.7754139588504912
