Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.0029740187949143177,0.02706104398641712
0,1,1,0.0,0.01
0,2,0,0.017502966637871646,0.02463652886517429
0,2,1,0.028224573188601963,0.02996867241471558
0,3,0,0.010014458417362617,0.025269043684601145
0,3,1,0.0062888840226243605,0.01933256315314491
0,4,0,0.01033121703598753,0.029610638796633875
0,4,1,0.015881079704609117,0.010259767121271215
1,1,0,0.0016,0.3613829901668479
1,1,1,0.02857142857142857,0.346031746031746
1,2,0,0.051001701427766125,0.2999583444548668
1,2,1,0.0302945301542777,0.2836519639093684
1,3,0,0.0282030551900851,0.31901291565672246
1,3,1,0.03388221423626616,0.322949168680876
1,4,0,0.02406203509283348,0.3078219168763186
1,4,1,0.016408668730650156,0.31086882548182854
