Male_1,RaceEth_1,SexMinority_1,HIV,PrEP
0,1,0,0.04106177001506652,0.2001352161825543
0,1,1,0.021111111111111112,0.10499999999999998
0,2,0,0.0571668411700391,0.17494434456603525
0,2,1,0.05101569094374849,0.1952980273124158
0,3,0,0.04879317412646132,0.19154536828448057
0,3,1,0.021764665401367712,0.1936946608704104
0,4,0,0.05272371166071114,0.19229165517954364
0,4,1,0.031091190599753515,0.17677919499215106
1,1,0,0.00490940170940171,0.8673609409893951
1,1,1,0.02857142857142857,0.8158730158730159
1,2,0,0.0542160298004732,0.8114055016814904
1,2,1,0.04808109141909984,0.8462705597347953
1,3,0,0.030734937089478553,0.8400570670774025
1,3,1,0.058680155371736806,0.8159096547373496
1,4,0,0.0273681605499157,0.8103598624391001
1,4,1,0.021814074136055562,0.7918226275811415
